Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","5943.886","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","3449.008","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","8094.974","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","26.153","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","13.459","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","12.694","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","6.54","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","19.672","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","3318.407","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","1632.854","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","1685.553","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","1783.4","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","1714.81","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","072","Botswana","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2546.402","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","072","Botswana","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","1256.708","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","072","Botswana","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","1289.694","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","072","Botswana","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","703.554","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","072","Botswana","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","1712.212","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","076","Brésil","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","213196.304","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","076","Brésil","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","104779.288","X","Ciffre de sources internationales",""
